provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
400109__2023,400109,2023,HOSPITAL HIMA SAN PABLO BAYAMON,PR,external_geocoder_required_no_local_candidate,accept,72021,Bayamón Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400109 maps to BAYAMON County/Parish, PR, local FIPS 72021 (Bayamón Muno); CMS HGI address `CALLE SANTA CRUZ NUM 70 URB SANTA CRUZ, BAYAMON, PR 00961` checked against cost-report address `SANTA CRUZ # 70, BAYAMON, PR 00959` (state_match; city_match; cms_zip_available; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
650003__2023,650003,2023,GUAM REGIONAL MEDICAL CITY,GU,external_geocoder_required_no_local_candidate,hold,,,,,,Held from CMS HGI review: CMS HGI county/parish could not be mapped to local county FIPS.,,
400118__2023,400118,2023,DOCTOR CENTER HOSPITAL MANATI  INC.,PR,external_geocoder_required_no_local_candidate,accept,72091,Manatí Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400118 maps to MANATI County/Parish, PR, local FIPS 72091 (Manatí Muno); CMS HGI address `MARGINAL CARRETERA NO 2, KM 47.7, MANATI, PR 00674` checked against cost-report address `CARR. #2, MANATI, PR 00674` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
390156__2024,390156,2024,MERCY CATHOLIC MEDICAL CENTER,PA,external_geocoder_required_no_local_candidate,accept,42045,"Delaware County, Pennsylvania",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 390156 maps to DELAWARE County/Parish, PA, local FIPS 42045 (Delaware County, Pennsylvania); CMS HGI address `1500 LANSDOWNE AVE, DARBY, PA 19023` checked against cost-report address `LANSDOWNE AVE & BAILEY RD., DARBY, PA 19023` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
650001__2023,650001,2023,GUAM MEMORIAL HOSPITAL,GU,external_geocoder_required_no_local_candidate,hold,,,,,,Held from CMS HGI review: CMS HGI county/parish could not be mapped to local county FIPS.,,
400032__2023,400032,2023,BAYAMON MEDICAL CENTER,PR,external_geocoder_required_no_local_candidate,accept,72021,Bayamón Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400032 maps to BAYAMON County/Parish, PR, local FIPS 72021 (Bayamón Muno); CMS HGI address `CARRETERA #2 KM 11 7, BAYAMON, PR 00960` checked against cost-report address `CARR. #2 KM. 11.7, BAYAMON, PR 00960` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
400112__2024,400112,2024,HOSPITAL UPR,PR,external_geocoder_required_no_local_candidate,accept,72031,Carolina Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400112 maps to CAROLINA County/Parish, PR, local FIPS 72031 (Carolina Muno); CMS HGI address `CARR 3 KM 8 3 AVE 65TH INFANTERIA BOX 6021, CAROLINA, PR 00984` checked against cost-report address `STREET 3 KM 8.3 65 INFANTERIA AVE., CAROLINA, PR 00984` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
404004__2023,404004,2023,FIRST HOSPITAL PANAMERICANO,PR,external_geocoder_required_no_local_candidate,accept,72041,Cidra Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 404004 maps to CIDRA County/Parish, PR, local FIPS 72041 (Cidra Muno); CMS HGI address `CARR ESTATAL NUM 787 KM 1 5, CIDRA, PR 00739` checked against cost-report address `STATE ROAD #787, CIDRA, PR 00739` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
400019__2023,400019,2023,HOSPITAL PAVIA SANTURCE,PR,external_geocoder_required_no_local_candidate,accept,72127,San Juan Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400019 maps to SAN JUAN County/Parish, PR, local FIPS 72127 (San Juan Muno); CMS HGI address `STREET PROFESOR AUGUSTO RODRIGUEZ #1462, SAN JUAN, PR 00910` checked against cost-report address `ASIA STREET, SANTURCE, PR 00910` (state_match; city_differs; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
400048__2024,400048,2024,HOSPITAL MENONITA  GUAYAMA,PR,external_geocoder_required_no_local_candidate,hold,72059,Guayanilla Muno,,,,Held from CMS HGI review: CMS HGI Puerto Rico city/municipio and county/parish values conflict.,,
400102__2023,400102,2023,DOCTORS CENTER HOSPITAL BAYAMON,PR,external_geocoder_required_no_local_candidate,accept,72021,Bayamón Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400102 maps to BAYAMON County/Parish, PR, local FIPS 72021 (Bayamón Muno); CMS HGI address `CALLE J 9 EXTENSION HERMANAS DAVILA, BAYAMON, PR 00960` checked against cost-report address `STREET J-9 EXT. HERMANAS DAVILA, BAYAMON, PR 00956` (state_match; city_match; cms_zip_available; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
660001__2023,660001,2023,COMMONWEALTH HEALTH CENTER,MP,external_geocoder_required_no_local_candidate,hold,,,,,,Held from CMS HGI review: CMS HGI county/parish could not be mapped to local county FIPS.,,
480001__2023,480001,2023,ROY L SCHNEIDER HOSPITAL,VI,external_geocoder_required_no_local_candidate,hold,,,,,,Held from CMS HGI review: CMS HGI county/parish could not be mapped to local county FIPS.,,
394056__2024,394056,2024,TOWER BEHAVIORAL HEALTH,PA,external_geocoder_required_no_local_candidate,accept,42011,"Berks County, Pennsylvania",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 394056 maps to BERKS County/Parish, PA, local FIPS 42011 (Berks County, Pennsylvania); CMS HGI address `201 WELLNESS WAY, READING, PA 19605` checked against cost-report address `201 WELLNESS WAY, READING, PA 19605` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
400138__2023,400138,2023,PUERTO RICO WOMEN AND CHILDRENS HOSP,PR,external_geocoder_required_no_local_candidate,accept,72021,Bayamón Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400138 maps to BAYAMON County/Parish, PR, local FIPS 72021 (Bayamón Muno); CMS HGI address `CARR PR-2 KM11 6 INTERIOR ALEDANO HOSPITAL HERMANO, BAYAMON, PR 00959` checked against cost-report address `CARR. PR-2 KM 11.6 (INTERIOR), BAYAMON, PR 00959` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
400004__2024,400004,2024,ASOCIACION HOSPITAL DEL MAESTRO,PR,external_geocoder_required_no_local_candidate,accept,72127,San Juan Muno,0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 400004 maps to SAN JUAN County/Parish, PR, local FIPS 72127 (San Juan Muno); CMS HGI address `SERGIO CUEVAS BUSTAMANTE STREET 550, SAN JUAN, PR 00918` checked against cost-report address `SERGIO CUEVAS BUSTAMTE, SANJUAN, PR 00969` (state_match; city_differs; cms_zip_available; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
480002__2023,480002,2023,GOV. JUAN F. LUIS HOSPITAL,VI,external_geocoder_required_no_local_candidate,hold,,,,,,Held from CMS HGI review: CMS HGI county/parish could not be mapped to local county FIPS.,,
394040__2024,394040,2024,THE MEADOWS HOSPITAL,PA,external_geocoder_required_no_local_candidate,accept,42027,"Centre County, Pennsylvania",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 394040 maps to CENTRE County/Parish, PA, local FIPS 42027 (Centre County, Pennsylvania); CMS HGI address `132 MEADOWS DRIVE, CENTRE HALL, PA 16828` checked against cost-report address `1 EARLYSTOWN RD, CENTRE HALL, PA 16828` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p1_review,2026-06-06T02:05:11.362467+00:00
